大白菜,0.40,0.48,0.55,储存\新,斤,2021-06-23
娃娃菜,1.00,1.15,1.30,大\冀新,斤,2021-06-23
小白菜,1.50,1.75,2.00,普通,斤,2021-06-23
芹菜,0.80,0.90,1.00,\冀,斤,2021-06-23
西芹,2.20,2.40,2.60,普通,斤,2021-06-23
菠菜,1.50,2.00,2.50,冀\蒙,斤,2021-06-23
莴笋,1.00,1.25,1.50,普通,斤,2021-06-23
团生菜,1.50,1.75,2.00,毛|净,斤,2021-06-23
圆白菜,0.40,0.60,0.80,\冀,斤,2021-06-23
紫甘蓝,0.60,0.65,0.70,冀,斤,2021-06-23
散叶生菜,2.50,3.00,3.50,\京冀,斤,2021-06-23
油菜,2.00,2.15,2.30,\京冀,斤,2021-06-23
香菜,4.00,4.50,5.00,\冀,斤,2021-06-23
茴香,2.50,2.75,3.00,\冀,斤,2021-06-23
韭菜,0.80,1.00,1.20,普通,斤,2021-06-23
韭菜苔,3.80,3.90,4.00,普通,斤,2021-06-23
苦菊,2.00,2.15,2.30,辽,斤,2021-06-23
油麦菜,2.50,2.75,3.00,\京,斤,2021-06-23
散菜花,1.80,2.00,2.20,豫\苏,斤,2021-06-23
绿菜花,2.00,2.25,2.50,京\ 冀,斤,2021-06-23
